district,subdistrict,suco,population,male,female,households
Aileu,Aileu Vila,Aissirimou,2206.0,1098.0,1108.0,326.0
Aileu,Aileu Vila,Bandudato,1138.0,604.0,534.0,204.0
Aileu,Aileu Vila,Fahiria,1823.0,962.0,861.0,301.0
Aileu,Aileu Vila,Fatubossa,2033.0,1074.0,959.0,357.0
Aileu,Aileu Vila,Hoholau,1365.0,705.0,660.0,218.0
Aileu,Aileu Vila,Lahae,698.0,369.0,329.0,119.0
Aileu,Aileu Vila,Lauisi,1420.0,736.0,684.0,212.0
Aileu,Aileu Vila,Saboria,781.0,411.0,370.0,131.0
Aileu,Aileu Vila,Seloi Craic,3585.0,1905.0,1680.0,550.0
Aileu,Aileu Vila,Seloi Malere,4878.0,2534.0,2344.0,740.0
Aileu,Aileu Vila,Suco Liurai,4122.0,2141.0,1981.0,688.0
Aileu,Laulara,Cotolau,1296.0,649.0,647.0,183.0
Aileu,Laulara,Fatisi,1357.0,730.0,627.0,210.0
Aileu,Laulara,Madabeno,1543.0,760.0,783.0,241.0
Aileu,Laulara,Talitu,2220.0,1150.0,1070.0,336.0
Aileu,Laulara,Tohumeta,674.0,357.0,317.0,96.0
Aileu,Lequidoe,Acubilitoho,864.0,440.0,424.0,131.0
Aileu,Lequidoe,Bereleu,1280.0,661.0,619.0,205.0
Aileu,Lequidoe,Betulau,670.0,360.0,310.0,99.0
Aileu,Lequidoe,Fahisoi,1204.0,598.0,606.0,169.0
Aileu,Lequidoe,Faturilau,719.0,388.0,331.0,99.0
Aileu,Lequidoe,Manucassa,518.0,269.0,249.0,88.0
Aileu,Lequidoe,Namolesso,1510.0,795.0,715.0,239.0
Aileu,Remexio,Acumau,2689.0,1358.0,1331.0,391.0
Aileu,Remexio,Fadabloco,1896.0,962.0,934.0,286.0
Aileu,Remexio,Fahisoi,1290.0,631.0,659.0,193.0
Aileu,Remexio,Faturasa,1125.0,565.0,560.0,165.0
Aileu,Remexio,Hautoho,856.0,424.0,432.0,133.0
